Headline,Date,Link
IPL 2026 Auction: First-time picks and uncapped players sold; check full list - The Economic Times,"Wed, 17 Dec 2025 02:25:18 GMT",https://news.google.com/rss/articles/CBMi2AFBVV95cUxQdXFHbm1ISlc3RW5Oc3k4cG1FZGg3N0dIenV0OW1pMWVYb3BmQnZsdmRmZGRiblBlNVU4eWQ3TTMyUFR4bkR4VEdzUEdzaXdOV1RSeTFhMldHSUFjM2FBdmxUUXFFdDB0RG5EM0c2a1VFdlJTSGJIUVJaN1FmZFY2X0hxTkRpZHByQnpiRXQ5SG1pYmUtQllDLVVkOWdqMnNVNnpOV3ZXN2xGcXRiX25pMkJqRnZqX0lZaXd5YTg3UHZxX0NQNFVQbEtXSVNPV3J5aFplZjdmN1LSAd4BQVVfeXFMUFBMR2xLOVE1clNTeVVKNndwUDl4Q1lkMWNYQ1JkbGxKcENqYnB6RHZIdXlGNzhuYkNwLVRkOHk3RjE5UjZlWHdZVGc1dVV1OWFFbW1SaE5kb0tXQWEyQUpHbDBBQWlMdUF4cnc5NjJQdGw5STFNcG5mOWZpZHBscC1hdjRsMHAydzI5NFdQR0R0VU9abTItamxTbUZ3WVhuQXVJWnpuUFBKUGpXdFZGR2JraUJ3LTZEczVHeFJnVnliU3Atd3FCd3hvLVRGUHphUjBBeFFRbkNRRkpxU25n?oc=5
IPL 2026 auction: Full list of players sold; Cameron Green costliest buy - thefederal.com,"Tue, 16 Dec 2025 15:45:12 GMT",https://news.google.com/rss/articles/CBMikAFBVV95cUxNYnZBNXU2b0RPc2pxTFI3ZzlMa0NNNlNuOUtJQVRGRDhFTTJTcjFyV3FldDBtVHdQdHlNVkhCT0ZOWEtoVDJfRHhONXQxQVp0NjZjc1I4QnBIbnhoeVRIUHFTNzI1dmRzZjNzX01jb1RDRXJzeXczejhNTlJkMldZZEF1UWIwT293X2c0QUJTQU4?oc=5
"IPL 2026 teams, squads: CSK, MI, RCB, RR, SRH, KKR, LSG, GT, DC, PBSK - BBC","Tue, 16 Dec 2025 15:57:12 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE9UbjdHdVBKVGlYeUZjM1BNbmlCanZzTDF4YnpKaFVkY0NSN0YybkQ2azVKR2NRZ2l3aTBpRnRLTFBndnliYWFFREFqSnAzOTFoSHJKOFdJX081VENfOFNnZmUtREg1UQ?oc=5
IPL Auction 2026 Live Updates: KKR splurge record sum on Cameron Green and Matheesha Pathirana; CSK spend Rs 28.4 crore on uncapped duo - Times of India,"Wed, 17 Dec 2025 05:07:43 GMT",https://news.google.com/rss/articles/CBMirAJBVV95cUxNVmh2ZHZyVExUMXFPRGJDZDd0QjY1RzRBb2IxYnhwd0VabnQ0OTVfeTVCemp1NjBWUU1iWnM5TGVKa0FyeWY2d0pvRVRraUVtUGpZaGFqSS1CNG52NktKa1UzbDZwRVY1WERqdldqWENWU0d4QllPc0k5VjBiUi1tSU8yUVdxSEFiSkRHbEh4OXdqNTJneXdla0ExQk5Vd0lYcW1rR3JHa2RDMm93d1BVZUdiTUlZZjZmaVdPTjBsMUFsZkVaT1hUUjAzWElTQlFnVzkwSUdDamtFVWhqQzNjZ3FNYzlwc0Y2X0Z6bUdCVWIzRkYyYnZKSWczQzFXVVN3MnZXaWRBazlhM0R0MDlKUE1uLTltQkxYX1BndVA5SVNDWGtHdkp1aHRoYlDSAbICQVVfeXFMUG9hTnNVTUJiQkVadXgySzlQcUJTcWZQOWFYZ2VvRFBrQ3BLT0xZWUJnY1FFRXpDeDNUSE96WVBKTFZPbTJXNWVuTjI1UmhZVFBzQUk3R0FObTQycC0tR3c4WHZ5bGlpVmdnSFg4R25wY3JZY3FKRk5rcVNGMjctdUp0UmtqdzBNbExrX01OMWZJd2tRZmlKSm9wczJxcXVUa2JTQTlFY1BvSkRxQXQwTUFTbHFqNW1qbWNvSXQ1UWNTZmROM0NiVEJzOHZTUWZXc2pDN3J5Z1J0R2FtX0k0Q0otM0NscklsYWNtNUdRYUxBeVJmUERyd2dvUE5mbnhpZDNPTmVtYXhwaXNjN1ZQYi1tNG00d29wZWFGbjg1MTY4QnFWN0tGQXZ0NnNmdVNHRTFB?oc=5
IPL 2026 purse remaining - where every team stands ahead of the auction - Olympics.com,"Fri, 12 Dec 2025 14:04:00 GMT",https://news.google.com/rss/articles/CBMijgFBVV95cUxPOUI3ZGtqaWozR2lKZXFmdU45SUVRQXdLUVA0bndUZWwxQmg2c3FIWDU3eks0aUtHWXpvV1FwOXNvdmhsenAxdmFORTFfYzFfZC1lU2U2Vk5kZFVQOURtZnRoOWFyUjNQR2laTWZ5VXVLX0Z6Sk4tS3R1NnJJSFBtQUcyRDRSUnVfVXVpSnN3?oc=5
IPL 2026 to be held between March 26 and May 31 - ESPN,"Mon, 15 Dec 2025 02:43:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE14dTBTM0R5WHl4SjBrRDFqZ054Tklmc05lRWxxaFhRa0tfOUVsbU56d0EyMWh5b2E2QUZ1WXE4VnFnVzBGVm04b2ZkZlVvOEZ6dE5BNl8yOG4tNHJlX1pJN0N3X1NvZUhyZ01mSm5KX3h2YjNnZGhWWE5hc3IxdnM?oc=5
"Cameron Green, KKR's Rs 25.20 Crore Buy, Dismissed For Duck In First Outing After IPL 2026 Auction - NDTV Sports","Wed, 17 Dec 2025 03:05:31 GMT",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPRUtwNDN0N3I0Wm01SDZhT3g2RG1UZEp6ZnlDMTRack9pMmdZdjBLTE1Ob1JubkYybXBDcFZheUxHMWg5U0ZHNVZFbktYR0pXM2dPY0w0UFFvRkJFRTIyeDVldTF2QXNuT2gzSVI5OERla0hVejVBcHZadFRydXpxRWsxYm9IbkNlWkpXYU1TSjcyaGFCM2FUNFdpWjB1bXR3UTF3RlpUOVllWXVrTmg5akNfbEtseHlwX19aZUtCbC1zcF93QzdCX3R3WWo3bzc4dFE?oc=5
IPL 2026 auction: Know timing and where to watch live streaming and telecast in India - Olympics.com,"Mon, 15 Dec 2025 09:08:00 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxPbEloZ0psYVU2M201OTdRZ0xSdG44QncwODNCXzRJaGhtVG9LbVFZZ3RlOFlnb0h5Mmh1RU5sRzI4U2lvdjM5SXVpU2l2VXR2OGFpU3BqbnJiMUE4QkRESzBCa3VaQmx1V2M2S0ZMQjZOSVpUWDAtY1dIdVpoWE12cHliR2o1bmJwVktpRWRMZkhtX09VWjZkRGZGblFtWFFiQnVFbXFXNkp3OGRUSnlF?oc=5
IPL Auction 2026: Kolkata Knight Riders steal the show - Times of India,"Wed, 17 Dec 2025 02:56:00 GMT",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQVkw2WWJELUozalBTQ0NMdll5eXV4ck5zVGJORlJmM1RYS1gyMXEtUFhXaVhDTjhCVUxSSnotODFhcE5wdVNIa096Qm1FZkkxM1NkWTY5NDA1WDBoNG9LZURWX2JhYmZnRFRtU29lMTdlckNlM0hDbUFyV2xHNXBycU1VZWZXZGdNbExqTS1OLTJtUE5NSHdCZFU4QUQwNWFrcmYzMVgzTDdnc2dIM0ZZXzRaV3I1cGFZMWY0RjVESEVqU3VyWG50dk1tVUw1VlRueUFiUlJjV2ZEeWpnaThF0gHkAUFVX3lxTE4tbzZfdTc5MzJBNS1GTTZlTEk0WE03T21OR1U2cjVkU0JJcDhNWkpLdEtOd0NWTExESGN1X1BtQ1JWMVY2V1hpNy1UUC05Wk92bmJCNGV5QWhQYnVSRWxVRlJxVDVyNEttanlkOUg2cG4ySlVOU2pkNmhYeFJCajhkYXVmUlo3YVIwVDBZWGgzbWhpOUFMcGVzaHktVUszeEhwdUFtSTJBMnV2SGlJQlMxbGkzQTJYMDRmaGZRMEZ6bExvdjBZN2pScW94UGxOVDhmT1NOU2VPX0NUYkEtNUxJXzZwbQ?oc=5
"IPL 2026 Auction: Cameron Green becomes most expensive overseas player, goes to KKR for Rs 25.2 cr - Deccan Herald","Tue, 16 Dec 2025 09:55:57 GMT",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQaFY4eTJZZGFhWmRtUWlLc0JjZ0VUUHZLRkpiRldKY1pYWDdRQmhmdDljang3TjF6cDJQSU9FeU1xRF9jakc2V1RtY0dJdGdsWTlqX2VCZ3ZvWDBDYVlFYmtKQWwtcFFVbWJuMkdfeWlMaXItOUxUT1FDOG02TFByMm9LenRGcWd4bTBZaUwxUW0wQkc2WHFUVnpneTliWmo3ZWFxZ0ZrTGludzRfdGJybmlsOE0waGVMcUlNTFl4MXJHRzJMN2ZyOWV4M1huVjl0QzJnbG1PUk0wU3pYQmltcA?oc=5
